bucket_ids,bucket_name,URL,repName,repemail,expected_per_day,is_event,met_expectations
AbDrKT3KR5k5KsmDi,BK,https://portal.eltoro.com/bucket/AbDrKT3KR5k5KsmDi,Estefan Albiero,estefan@eltoro.com,,,
k7GcdLbs978Y75M65,Auto,https://portal.eltoro.com/bucket/k7GcdLbs978Y75M65,Estefan Albiero,estefan@eltoro.com,,,
YWKJ7sbRxis33SDcW,Conference,https://portal.eltoro.com/bucket/YWKJ7sbRxis33SDcW,Estefan Albiero,estefan@eltoro.com,,,
xcomn4doD9LT77RzC,Navy Fed,https://portal.eltoro.com/bucket/xcomn4doD9LT77RzC,Estefan Albiero,estefan@eltoro.com,,,
PT6ZhAynQarpHDncH,Stadium,https://portal.eltoro.com/bucket/PT6ZhAynQarpHDncH,Estefan Albiero,estefan@eltoro.com,,,
vHckKsdE4euwsBoZW,"10340 S Central Ave, Los Angeles, CA 90002",https://portal.eltoro.com/bucket/vHckKsdE4euwsBoZW,Estefan Albiero,estefan@eltoro.com,,,
havafGRiTshNpYA8s,"1601 E 103rd St, Los Angeles, CA 90002",https://portal.eltoro.com/bucket/havafGRiTshNpYA8s,Estefan Albiero,estefan@eltoro.com,,,
ZJMFt74Wz3E3oM63M,"9950 S Laurel Ave, Los Angeles, CA 90002, USA",https://portal.eltoro.com/bucket/ZJMFt74Wz3E3oM63M,Estefan Albiero,estefan@eltoro.com,,,
sXauhfyBtq49XpLfZ,"1902 Rosecrans Ave, Compton, CA 90220",https://portal.eltoro.com/bucket/sXauhfyBtq49XpLfZ,Estefan Albiero,estefan@eltoro.com,,,
crScb72dsSuHGrxgb,"10221 Compton Ave Ste 100, Los Angeles, CA 90002",https://portal.eltoro.com/bucket/crScb72dsSuHGrxgb,Estefan Albiero,estefan@eltoro.com,,,
SS3uQcAYye39h9MWX,Red Rocks,https://portal.eltoro.com/bucket/SS3uQcAYye39h9MWX,Estefan Albiero,estefan@eltoro.com,,,
9AQSpJo4rEhYaQZwC,Facebook,https://portal.eltoro.com/bucket/9AQSpJo4rEhYaQZwC,Estefan Albiero,estefan@eltoro.com,,,
gALQHS49E63CKuFrB,"1669 E 103rd St, Los Angeles, CA 90002",https://portal.eltoro.com/bucket/gALQHS49E63CKuFrB,Estefan Albiero,estefan@eltoro.com,,,
v2fnxePZmcTDWcDRq,"10005 S Central Ave, Los Angeles, CA 90002",https://portal.eltoro.com/bucket/v2fnxePZmcTDWcDRq,Estefan Albiero,estefan@eltoro.com,,,
7sMocWSTJKZZH29Zw,Microsoft VR,https://portal.eltoro.com/bucket/7sMocWSTJKZZH29Zw,Estefan Albiero,estefan@eltoro.com,,,
aeJBruxW5XnM6AxXv,Garden Inn,https://portal.eltoro.com/bucket/aeJBruxW5XnM6AxXv,Estefan Albiero,estefan@eltoro.com,,,
N2PC9PMm3kMCRmX3P,Naval Academy,https://portal.eltoro.com/bucket/N2PC9PMm3kMCRmX3P,Estefan Albiero,estefan@eltoro.com,,,
X7RbbrFqzeAFJsdZY,Hilton,https://portal.eltoro.com/bucket/X7RbbrFqzeAFJsdZY,Estefan Albiero,estefan@eltoro.com,,,
